year,sex,age,suicides_no
1989,1,15,27.0
1989,0,15,126.0
1990,1,15,37.0
1990,0,15,109.0
1991,1,15,23.0
1991,0,15,100.0
1992,1,15,29.0
1992,0,15,114.0
1993,1,15,33.0
1993,0,15,138.0
1994,1,15,24.0
1994,0,15,151.0
1995,1,15,39.0
1995,0,15,142.0
1996,1,15,36.0
1996,0,15,140.0
1997,1,15,34.0
1997,0,15,124.0
1998,1,15,31.0
1998,0,15,136.0
1999,1,15,26.0
1999,0,15,113.0
2000,1,15,38.0
2000,0,15,139.0
2001,1,15,35.0
2001,0,15,118.0
2002,1,15,24.0
2002,0,15,107.0
2003,1,15,39.0
2003,0,15,121.0
2004,1,15,28.0
2004,0,15,124.0
2005,1,15,26.0
2005,0,15,98.0
2006,1,15,27.0
2006,0,15,86.0
2007,1,15,22.0
2007,0,15,91.0
2008,1,15,37.0
2008,0,15,110.0
2009,1,15,34.0
2009,0,15,90.0
2010,1,15,32.0
2010,0,15,98.0
2011,1,15,41.0
2011,0,15,109.0
2012,1,15,28.0
2012,0,15,100.0
2013,1,15,27.0
2013,0,15,91.0
2014,1,15,27.0
2014,0,15,85.0
2015,1,15,21.0
2015,0,15,93.0
1979,1,15,142.0
1979,0,15,142.0
1980,1,15,0.0
1980,0,15,1.0
1981,1,15,142.0
1981,0,15,142.0
1982,1,15,0.0
1982,0,15,0.0
1983,1,15,0.0
1983,0,15,0.0
1984,1,15,0.0
1984,0,15,0.0
1986,1,15,1.0
1986,0,15,1.0
1987,1,15,0.0
1987,0,15,1.0
1989,1,15,0.0
1989,0,15,1.0
1990,1,15,1.0
1990,0,15,0.0
1991,1,15,0.0
1991,0,15,0.0
1993,1,15,0.0
1993,0,15,0.0
1994,1,15,0.0
1994,0,15,0.0
1995,1,15,1.0
1995,0,15,4.0
1996,1,15,0.0
1996,0,15,3.0
1997,1,15,0.0
1997,0,15,0.0
1998,1,15,0.0
1998,0,15,2.0
1999,1,15,0.0
1999,0,15,8.0
2000,1,15,2.0
2000,0,15,3.0
2001,1,15,1.0
2001,0,15,5.0
2002,1,15,2.0
2002,0,15,1.0
2003,1,15,2.0
2003,0,15,1.0
2004,1,15,0.0
2004,0,15,7.0
2005,1,15,1.0
2005,0,15,3.0
2006,1,15,1.0
